Scenario,Acc_Dyn,F1_Dyn,Acc_Hier_Dyn,F1_Hier_Dyn,Acc_Hier_Per,F1_Hier_Per
TAPT_GN_Bias,0.8518518518518519,0.7668502923126448,0.8486842105263158,0.539489848700375,0.6776315789473685,0.6354699703743604
DAPT_only,0.8333333333333334,0.7279578851689138,0.8355263157894737,0.5515045929680076,0.6842105263157895,0.6299285196115295
TAPT_GN,0.8395061728395061,0.6984649122807017,0.8421052631578947,0.5416486511274452,0.6842105263157895,0.637916026625704
TAPT_Bias,0.8641975308641975,0.778342463803267,0.8421052631578947,0.5432211042311661,0.6710526315789473,0.6290882904359271
TAPT_only,0.845679012345679,0.7266989672319266,0.8486842105263158,0.5695368937048503,0.6513157894736842,0.6053987064792222
TAPT_from_DAPT,0.8395061728395061,0.6984649122807017,0.8355263157894737,0.5442594185681319,0.6710526315789473,0.626608187134503
