Scenario,Acc_Dyn,F1_Dyn,Acc_Hier_Dyn,F1_Hier_Dyn,Acc_Hier_Per,F1_Hier_Per
TAPT_GN_Bias,0.8148148148148148,0.6424683506730584,0.8289473684210527,0.5466733179522354,0.6513157894736842,0.6006310064968762
TAPT_GN,0.845679012345679,0.74487786706402,0.8223684210526315,0.5340181316860935,0.618421052631579,0.5752949351572076
Baseline,0.808641975308642,0.6722510822510822,0.8223684210526315,0.5147869674185463,0.6381578947368421,0.5832308412194728
TAPT_Bias,0.845679012345679,0.7477184335372064,0.8223684210526315,0.5312344779628464,0.6381578947368421,0.586281179138322
TAPT_only,0.845679012345679,0.7623845037476866,0.8355263157894737,0.5404502692832213,0.6644736842105263,0.6163505037387859
TAPT_from_DAPT,0.845679012345679,0.7517146676388384,0.8223684210526315,0.5340181316860935,0.6578947368421053,0.6159798295948531
